value,channels,time,altitude,station_latitude,station_longitude,station_height,time_offset,altitude_offset,wavelength,zenith_cosine,z0,integration_start_time,integration_end_time,max_countrate,countrate_limit_bin,merge1_top_bin,merge1_bottom_bin,merge1_mean_diff,merge2_top_bin,merge2_bottom_bin,merge2_mean_diff,temperature,temperature_err
0,0,80532000,68,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,168,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,268,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,368,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,468,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,568,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,668,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,768,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,868,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,968,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,1068,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,1168,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,1268,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,1368,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,1468,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,1568,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,1668,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,1768,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,1868,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,1968,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,2068,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,2168,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,2268,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,2368,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,2468,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,2568,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,2668,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,2768,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,2868,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,2968,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,3068,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,3168,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,3268,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,3368,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,3468,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,3568,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,3668,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,3768,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,3868,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,3968,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,4068,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,4168,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,4268,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,4368,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,4468,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,4568,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,4668,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,4768,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,4868,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,4968,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,5068,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,5168,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,5268,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,5368,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,5468,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,5568,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,5668,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,5768,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,5868,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,5968,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,6068,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,6168,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,6268,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,6368,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,6468,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,6568,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,6668,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,6768,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,6868,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,6968,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,7068,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,7168,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,7268,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,7368,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,7468,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,7568,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,7668,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,7768,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,7868,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
0,0,80532000,7968,-53.78567123413086,-67.75221252441406,18,1687305600,0,532.0,1.0,0,78732000,82312000,9855000,239,378,349,-0.029129028,0,0,0.0,0.0,0.0
